dalil,isu
" بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ 
 Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang. 
[Q.S. Al-Fatihah (1) : 1]"," Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang."
" ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ 
 Segala puji bagi Allah, Tuhan[^1] semesta alam  [^1]: Allah Swt. disebut rabb (Tuhan) seluruh alam karena Dialah yang telah menciptakan, memelihara, mendidik, mengatur, mengurus, memberi rezeki, dan sebagainya kepada semua makhluk-Nya. 
[Q.S. Al-Fatihah (1) : 2]"," Segala puji bagi Allah, Tuhan[^1] semesta alam  [^1]: Allah Swt. disebut rabb (Tuhan) seluruh alam karena Dialah yang telah menciptakan, memelihara, mendidik, mengatur, mengurus, memberi rezeki, dan sebagainya kepada semua makhluk-Nya. "
" ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ 
 Yang Maha Pengasih lagi Maha Penyayang, 
[Q.S. Al-Fatihah (1) : 3]"," Yang Maha Pengasih lagi Maha Penyayang, "
" مَـٰلِكِ يَوْمِ ٱلدِّينِ 
 Pemilik hari Pembalasan.[^2]  [^2]: Yaumid-dīn (hari Pembalasan) adalah hari ketika kelak manusia menerima balasan atas amal-amalnya yang baik dan yang buruk. Hari itu disebut juga yaumul-qiyāmah (hari Kiamat), yaumul-ḥisāb (hari Penghitungan), dan sebagainya. 
[Q.S. Al-Fatihah (1) : 4]"," Pemilik hari Pembalasan.[^2]  [^2]: Yaumid-dīn (hari Pembalasan) adalah hari ketika kelak manusia menerima balasan atas amal-amalnya yang baik dan yang buruk. Hari itu disebut juga yaumul-qiyāmah (hari Kiamat), yaumul-ḥisāb (hari Penghitungan), dan sebagainya. "
" إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ 
 Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan. 
[Q.S. Al-Fatihah (1) : 5]", Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami memohon pertolongan. 
" ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ 
 Bimbinglah kami ke jalan yang lurus,[^3]  [^3]: Jalan yang lurus adalah jalan hidup yang benar dan sesuai dengan ajaran Islam yang terkandung dalam Al-Qur’an dan hadis. 
[Q.S. Al-Fatihah (1) : 6]"," Bimbinglah kami ke jalan yang lurus,[^3]  [^3]: Jalan yang lurus adalah jalan hidup yang benar dan sesuai dengan ajaran Islam yang terkandung dalam Al-Qur’an dan hadis. "
" صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ 
 (yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) orang-orang yang sesat. 
[Q.S. Al-Fatihah (1) : 7]"," (yaitu) jalan orang-orang yang telah Engkau beri nikmat, bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) orang-orang yang sesat. "
" الٓمٓ 
 Alif Lām Mīm.[^4]  [^4]: Dalam Al-Qur’an terdapat 29 surah yang dibuka dengan huruf Arab yang muqaṭṭa‘ah (dibaca nama hurufnya), seperti Alif lām mīm, Alif lām rā, dan sebagainya. Hanya Allah Swt. yang mengetahui makna sesungguhnya dari rangkaian huruf-huruf tersebut. Namun, dilihat dari fungsinya, ada yang berpendapat bahwa rangkaian huruf-huruf itu bertujuan untuk menarik perhatian atau untuk menunjukkan kemukjizatan Al-Qur’an. 
[Q.S. Al-Baqarah (2) : 1]"," Alif Lām Mīm.[^4]  [^4]: Dalam Al-Qur’an terdapat 29 surah yang dibuka dengan huruf Arab yang muqaṭṭa‘ah (dibaca nama hurufnya), seperti Alif lām mīm, Alif lām rā, dan sebagainya. Hanya Allah Swt. yang mengetahui makna sesungguhnya dari rangkaian huruf-huruf tersebut. Namun, dilihat dari fungsinya, ada yang berpendapat bahwa rangkaian huruf-huruf itu bertujuan untuk menarik perhatian atau untuk menunjukkan kemukjizatan Al-Qur’an. "
" ذَٰلِكَ ٱلْكِتَـٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ 
 Kitab (Al-Qur’an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang bertakwa, 
[Q.S. Al-Baqarah (2) : 2]"," Kitab (Al-Qur’an) ini tidak ada keraguan di dalamnya; (ia merupakan) petunjuk bagi orang-orang yang bertakwa, "
" ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَـٰهُمْ يُنفِقُونَ 
 (yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki yang Kami anugerahkan kepada mereka, 
[Q.S. Al-Baqarah (2) : 3]"," (yaitu) orang-orang yang beriman pada yang gaib, menegakkan salat, dan menginfakkan sebagian rezeki yang Kami anugerahkan kepada mereka, "
" وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْـَٔاخِرَةِ هُمْ يُوقِنُونَ 
 dan mereka yang beriman pada (Al-Qur’an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab suci) yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat. 
[Q.S. Al-Baqarah (2) : 4]", dan mereka yang beriman pada (Al-Qur’an) yang diturunkan kepadamu (Nabi Muhammad) dan (kitab-kitab suci) yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat. 
" أُو۟لَـٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُو۟لَـٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ 
 Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung. 
[Q.S. Al-Baqarah (2) : 5]", Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orang-orang yang beruntung. 
" إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ 
 Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman. 
[Q.S. Al-Baqarah (2) : 6]"," Sesungguhnya orang-orang yang kufur itu sama saja bagi mereka, apakah engkau (Nabi Muhammad) beri peringatan atau tidak engkau beri peringatan, mereka tidak akan beriman. "
" خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَـٰرِهِمْ غِشَـٰوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ 
 Allah telah mengunci hati dan pendengaran mereka.[^5] Pada penglihatan mereka ada penutup, dan bagi mereka azab yang sangat berat.  [^5]: Allah Swt. telah mengunci hati dan telinga orang kafir sehingga nasihat atau hidayah tidak bisa masuk ke dalam hatinya. 
[Q.S. Al-Baqarah (2) : 7]"," Allah telah mengunci hati dan pendengaran mereka.[^5] Pada penglihatan mereka ada penutup, dan bagi mereka azab yang sangat berat.  [^5]: Allah Swt. telah mengunci hati dan telinga orang kafir sehingga nasihat atau hidayah tidak bisa masuk ke dalam hatinya. "
" وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْـَٔاخِرِ وَمَا هُم بِمُؤْمِنِينَ 
 Di antara manusia ada yang berkata, “Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang mukmin. 
[Q.S. Al-Baqarah (2) : 8]"," Di antara manusia ada yang berkata, “Kami beriman kepada Allah dan hari Akhir,” padahal sesungguhnya mereka itu bukanlah orang-orang mukmin. "
" يُخَـٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ 
 Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari. 
[Q.S. Al-Baqarah (2) : 9]"," Mereka menipu Allah dan orang-orang yang beriman, padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari. "
" فِى قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ 
 Dalam hati mereka ada penyakit,[^6] lalu Allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta.  [^6]: Penyakit hati yang dimaksud adalah keraguan tentang kebenaran agama Islam, kemunafikan, atau kebencian terhadap kenabian Rasulullah saw. 
[Q.S. Al-Baqarah (2) : 10]"," Dalam hati mereka ada penyakit,[^6] lalu Allah menambah penyakitnya dan mereka mendapat azab yang sangat pedih karena mereka selalu berdusta.  [^6]: Penyakit hati yang dimaksud adalah keraguan tentang kebenaran agama Islam, kemunafikan, atau kebencian terhadap kenabian Rasulullah saw. "
" وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ 
 Apabila dikatakan kepada mereka, “Janganlah berbuat kerusakan di bumi,”[^7] mereka menjawab, “Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.”  [^7]: Di antara bentuk kerusakan di atas bumi adalah kekufuran, kemaksiatan, menyebarkan rahasia orang mukmin, dan memberikan loyalitas kepada orang kafir. Melanggar nilai-nilai yang ditetapkan agama akan mengakibatkan alam ini rusak, bahkan hancur. 
[Q.S. Al-Baqarah (2) : 11]"," Apabila dikatakan kepada mereka, “Janganlah berbuat kerusakan di bumi,”[^7] mereka menjawab, “Sesungguhnya kami hanyalah orang-orang yang melakukan perbaikan.”  [^7]: Di antara bentuk kerusakan di atas bumi adalah kekufuran, kemaksiatan, menyebarkan rahasia orang mukmin, dan memberikan loyalitas kepada orang kafir. Melanggar nilai-nilai yang ditetapkan agama akan mengakibatkan alam ini rusak, bahkan hancur. "
" أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَـٰكِن لَّا يَشْعُرُونَ 
 Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari. 
[Q.S. Al-Baqarah (2) : 12]"," Ingatlah, sesungguhnya merekalah yang berbuat kerusakan, tetapi mereka tidak menyadari. "
" وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ ۗ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَـٰكِن لَّا يَعْلَمُونَ 
 Apabila dikatakan kepada mereka, “Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menjawab, “Apakah kami akan beriman seperti orang-orang yang picik akalnya itu beriman?” Ingatlah, sesungguhnya mereka itulah orang-orang yang picik akalnya, tetapi mereka tidak tahu. 
[Q.S. Al-Baqarah (2) : 13]"," Apabila dikatakan kepada mereka, “Berimanlah kamu sebagaimana orang lain telah beriman,” mereka menjawab, “Apakah kami akan beriman seperti orang-orang yang picik akalnya itu beriman?” Ingatlah, sesungguhnya mereka itulah orang-orang yang picik akalnya, tetapi mereka tidak tahu. "
" وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَـٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ 
 Apabila mereka berjumpa dengan orang yang beriman, mereka berkata, “Kami telah beriman.” Akan tetapi apabila mereka menyendiri dengan setan-setan (para pemimpin) mereka, mereka berkata, “Sesungguhnya kami bersama kamu, kami hanya pengolok-olok.” 
[Q.S. Al-Baqarah (2) : 14]"," Apabila mereka berjumpa dengan orang yang beriman, mereka berkata, “Kami telah beriman.” Akan tetapi apabila mereka menyendiri dengan setan-setan (para pemimpin) mereka, mereka berkata, “Sesungguhnya kami bersama kamu, kami hanya pengolok-olok.” "
" ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَـٰنِهِمْ يَعْمَهُونَ 
 Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan. 
[Q.S. Al-Baqarah (2) : 15]", Allah akan memperolok-olokkan dan membiarkan mereka terombang-ambing dalam kesesatan. 
" أُو۟لَـٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَـٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَـٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ 
 Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaannya dan mereka bukanlah orang-orang yang mendapatkan petunjuk. 
[Q.S. Al-Baqarah (2) : 16]"," Mereka itulah orang-orang yang membeli kesesatan dengan petunjuk. Maka, tidaklah beruntung perniagaannya dan mereka bukanlah orang-orang yang mendapatkan petunjuk. "
" مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَـٰتٍ لَّا يُبْصِرُونَ 
 Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat. 
[Q.S. Al-Baqarah (2) : 17]"," Perumpamaan mereka seperti orang yang menyalakan api. Setelah (api itu) menerangi sekelilingnya, Allah melenyapkan cahaya (yang menyinari) mereka dan membiarkan mereka dalam kegelapan, tidak dapat melihat. "
